model,distortion,micro_f1,macro_f1,weighted_f1,hamming_loss,exact_match_ratio
baseline_cnn,clean,0.3637492240844196,0.32139171464753596,0.435780760709894,0.3619350282485876,0.06779661016949153
baseline_cnn,brightness_low,0.3323442136498516,0.29069067923338054,0.3785370613195689,0.3972457627118644,0.05649717514124294
baseline_cnn,brightness_high,0.33015873015873015,0.28837993079903457,0.4048111617451075,0.3725282485875706,0.03954802259887006
baseline_cnn,contrast_low,0.35930457179652286,0.3134839956519152,0.4294160267448248,0.3513418079096045,0.06497175141242938
baseline_cnn,contrast_high,0.36318096430807767,0.3054658201790743,0.42191604516576847,0.3591101694915254,0.05367231638418079
baseline_cnn,blur_mild,0.36318407960199006,0.3207351954040427,0.43558969158868427,0.3615819209039548,0.07344632768361582
baseline_cnn,blur_strong,0.36079900124843944,0.3190912995745959,0.43193354813476115,0.3615819209039548,0.07627118644067797
baseline_cnn,rotation_left,0.34868017188459177,0.3067537468808812,0.4192806069614843,0.3746468926553672,0.0423728813559322
baseline_cnn,rotation_right,0.35642317380352645,0.30704889920507616,0.4242452572580437,0.3608757062146893,0.0847457627118644
efficientnet_b0,clean,0.5729984301412873,0.49672223255962594,0.6185083459212422,0.192090395480226,0.2514124293785311
efficientnet_b0,brightness_low,0.5727923627684964,0.4944734559965463,0.6179854433154339,0.1896186440677966,0.2542372881355932
efficientnet_b0,brightness_high,0.5714285714285714,0.5030802813791836,0.6192861621320187,0.19385593220338984,0.22598870056497175
efficientnet_b0,contrast_low,0.5786163522012578,0.501162566584791,0.6219702888092846,0.18926553672316385,0.2598870056497175
efficientnet_b0,contrast_high,0.5714285714285714,0.4931939959659035,0.6150995032018115,0.1906779661016949,0.24858757062146894
efficientnet_b0,blur_mild,0.5747846515270164,0.4998334848313758,0.6212955893976795,0.1917372881355932,0.2542372881355932
efficientnet_b0,blur_strong,0.5738993710691824,0.5000314441724838,0.6210770204990778,0.19138418079096045,0.2514124293785311
efficientnet_b0,rotation_left,0.5853658536585366,0.500709604065465,0.617651140467971,0.18008474576271186,0.268361581920904
efficientnet_b0,rotation_right,0.5768621236133122,0.4995876719317164,0.6131621883638937,0.1885593220338983,0.2542372881355932
mobilenet_v2,clean,0.5724743777452416,0.5079544185424063,0.6238744209828289,0.2062146892655367,0.22598870056497175
mobilenet_v2,brightness_low,0.5649303008070433,0.49699987628634235,0.6186564849445582,0.20939265536723164,0.2344632768361582
mobilenet_v2,brightness_high,0.5806938159879337,0.5075314764235274,0.622781656071505,0.1963276836158192,0.22033898305084745
mobilenet_v2,contrast_low,0.5871015567086731,0.5138604764502812,0.6347218334466445,0.196680790960452,0.23728813559322035
mobilenet_v2,contrast_high,0.5655677655677656,0.4991899022967893,0.6183733848895938,0.20939265536723164,0.21468926553672316
mobilenet_v2,blur_mild,0.5703812316715543,0.5067290969895846,0.6205912700104282,0.20692090395480225,0.2231638418079096
mobilenet_v2,blur_strong,0.5718518518518518,0.5070658030759361,0.6201591353292493,0.2040960451977401,0.211864406779661
mobilenet_v2,rotation_left,0.5458515283842795,0.4895289783612113,0.603863217403819,0.22033898305084745,0.14689265536723164
mobilenet_v2,rotation_right,0.547985347985348,0.48197576407797826,0.6062154764801336,0.2178672316384181,0.17231638418079095
