model,micro_f1,macro_f1,weighted_f1,hamming_loss,exact_match_ratio,model_size_mb,total_parameters,avg_inference_time_sec,images_per_second,avg_macro_f1,avg_macro_f1_drop,worst_macro_f1_drop,best_distorted_macro_f1,worst_distorted_macro_f1
mobilenet_v2,0.5724743777452416,0.5079544185424063,0.6238744209828289,0.2062146892655367,0.2259887005649717,8.75312328338623,2234120,0.1930729460453293,5.179389554480728,0.5003601717452063,0.0075942467971999,0.025978654464428,0.5138604764502812,0.4819757640779782
efficientnet_b0,0.5729984301412873,0.4967222325596259,0.6185083459212422,0.192090395480226,0.2514124293785311,15.60922145843506,4017796,0.2029755056498961,4.926702839331055,0.4990090631159332,-0.0022868305563072,0.0035282365937224,0.5030802813791836,0.4931939959659035
resnet18,0.4886363636363636,0.4323274065037272,0.5482658910628755,0.2860169491525424,0.1101694915254237,42.72468090057373,11180616,0.2470790338982028,4.04728796378572,0.4301358854340172,0.0021915210697099,0.0253967826596819,0.4472380521011355,0.4069306238440452
baseline_cnn,0.3637492240844196,0.3213917146475359,0.435780760709894,0.3619350282485876,0.0677966101694915,0.3708333969116211,94728,0.2092306042372217,4.779415533619636,0.306456195866,0.0149355187815358,0.0330117838485014,0.3207351954040427,0.2883799307990345
