model,avg_macro_f1,avg_macro_f1_drop,worst_macro_f1_drop,best_distorted_macro_f1,worst_distorted_macro_f1
efficientnet_b0,0.4990090631159332,-0.0022868305563072126,0.0035282365937224,0.5030802813791836,0.4931939959659035
resnet18,0.43013588543401726,0.0021915210697099627,0.0253967826596819,0.4472380521011355,0.4069306238440452
mobilenet_v2,0.5003601717452063,0.007594246797199975,0.025978654464428,0.5138604764502812,0.4819757640779782
baseline_cnn,0.30645619586600004,0.014935518781535848,0.0330117838485014,0.3207351954040427,0.2883799307990345
