model,micro_f1,macro_f1,weighted_f1,hamming_loss,exact_match_ratio,model_size_mb,total_parameters,avg_inference_time_sec,images_per_second
mobilenet_v2,0.5724743777452416,0.5079544185424063,0.6238744209828289,0.2062146892655367,0.22598870056497175,8.75312328338623,2234120,0.19307294604532937,5.179389554480728
efficientnet_b0,0.5729984301412873,0.49672223255962594,0.6185083459212422,0.192090395480226,0.2514124293785311,15.609221458435059,4017796,0.20297550564989617,4.926702839331055
resnet18,0.48863636363636365,0.43232740650372725,0.5482658910628755,0.2860169491525424,0.11016949152542373,42.72468090057373,11180616,0.24707903389820282,4.0472879637857195
baseline_cnn,0.3637492240844196,0.32139171464753596,0.435780760709894,0.3619350282485876,0.06779661016949153,0.3708333969116211,94728,0.20923060423722176,4.779415533619636
